wals_code,Name,latitude,longitude,countrycodes,elev-ft,elev-m
lam,Lam??,9,14.5,TD CM,1204.1,367.00968
lan,Lango,2.166666667,33,UG,3615.5,1102.0044
lat,Latvian,57,24,LV,42.7,13.01496
lav,Lavukaleve,-9.083333333,159.2,SB,6.6,2.01168
len,Lenakel,-19.45,169.25,VU,613.5,186.9948
lep,Lepcha,27.16666667,88.5,NP IN BT,3631.9,1107.00312
lez,Lezgian,41.66666667,47.83333333,AZ RU,5524.9,1683.98952
lit,Lithuanian,55,24,LT,269,81.9912
lkk,Lakkia,24.08333333,110.1666667,CN,3382.5,1030.986
lkt,Lakhota,43.83333333,-101.8333333,US,2512,765.6576
llm,Lelemi,7.333333333,0.5,GH,958,291.9984
lu,L?¬,22,100.6666667,CN LA MM,2765.7,842.98536
lua,Lua,9.75,17.75,TD,1168,356.0064
lug,Lugbara,3.083333333,30.91666667,CD UG,3769.7,1149.00456
lui,Luise?ño,33.33333333,-117.1666667,US,651.7,198.63816
luo,Luo,-0.5,34.75,TZ KE,4544,1385.0112
lus,Lushootseed,48,-122,US,489.7,149.26056
luv,Luvale,-12,22,AO,3553.1,1082.98488
maa,Maasai,-3,36,KE TZ,2749.3,837.98664
mab,Maba,13.75,20.83333333,TD,1801.2,549.00576
mak,Makah,48.33333333,-124.6666667,US,0,0
mal,Malagasy,-20,47,MG,5505.2,1677.98496
mao,Maori,-40,176,NZ,1984.9,604.99752
map,Mapudungun,-38,-72,CL,1102.4,336.01152
mar,Maricopa,33.16666667,-113.1666667,US,870.7,265.38936
mau,Maung,-11.91666667,133.5,AU,29.5,8.9916
max,Maxakal??,-18,-40,BR,128,39.0144
may,Maybrat,-1.333333333,132.5,ID,1076.1,327.99528
maz,Mazahua,19.41666667,-99.91666667,MX,8593.3,2619.23784
mba,Mba,1,25,CD,1637.1,498.98808
mbb,Mbabaram,-17.16666667,145,AU,1437,437.9976
mei,Meithei,24.75,94,IN,2598.4,791.99232
mgg,Mangghuer,36,102,CN,6561.7,2000.00616
mie,Mien,25,111,CN,3382.5,1030.986
mku,Maranungku,-13.66666667,130,AU,88.6,27.00528
mla,Mambila,6.75,11.5,CM NG,4589.9,1399.00152
mlk,Malakmalak,-13.41666667,130.4166667,AU,16.4,4.99872
mme,Mari (Meadow),57,48,RU,429.8,131.00304
mnc,Manchu,49.5,127.5,CN,787.4,239.99952
mnd,Mandarin,34,110,CN,3320.2,1011.99696
mne,Maidu (Northeast),40,-120.6666667,US,6699.1,2041.88568
mog,Moghol,35,62,AF,2769,843.9912
mor,Mor,-2.95,135.75,ID,282.2,86.01456
mov,Movima,-13.83333333,-65.66666667,BO,488.8,148.98624
mpa,Murrinh-Patha,-14.66666667,129.6666667,AU,0,0
mrd,Marind,-7.833333333,140.1666667,ID,36.1,11.00328
mrg,Margi,11,13,NG,1381.2,420.98976
mrl,Murle,6.5,33.5,SS,1371.4,418.00272
mrn,Maranao,7.833333333,124.25,PH,2283.5,696.0108
mro,Moro,11,30.16666667,SD,1935.7,590.00136
