wals code,name,value,description,latitude,longitude,genus,family,area
ird,Irish (Donegal),1,No glottalized consonants,55,-8,Celtic,Indo-European,Phonology
iso,Isoko,1,No glottalized consonants,5.5,6.25,Edoid,Niger-Congo,Phonology
ite,Itelmen,2,Ejectives only,57,157.5,Southern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
ito,Itonama,2,Ejectives only,-12.83333333,-64.33333333,Itonama,Itonama,Phonology
iva,Ivatan,1,No glottalized consonants,20.5,122,Batanic,Austronesian,Phonology
iwm,Iwam,1,No glottalized consonants,-4.333333333,142,Upper Sepik,Sepik,Phonology
jak,Jakaltek,2,Ejectives only,15.66666667,-91.66666667,Mayan,Mayan,Phonology
jpn,Japanese,1,No glottalized consonants,37,140,Japanese,Japanese,Phonology
jpr,Japreria,1,No glottalized consonants,10.5,-73,Cariban,Cariban,Phonology
jaq,Jaqaru,2,Ejectives only,-13,-76,Aymaran,Aymaran,Phonology
jav,Javanese,1,No glottalized consonants,-7,111,Javanese,Austronesian,Phonology
jeb,Jebero,6,Ejectives and glottalized resonants,-5.416666667,-76.5,Cahuapanan,Cahuapanan,Phonology
jeh,Jeh,3,Implosives only,15.16666667,107.8333333,Bahnaric,Austro-Asiatic,Phonology
jng,Jingpho,1,No glottalized consonants,25.41666667,97,Jingpho,Sino-Tibetan,Phonology
jiv,Jivaro,1,No glottalized consonants,-2.5,-78,Jivaroan,Jivaroan,Phonology
jom,Jomang,1,No glottalized consonants,10.58333333,30.5,Talodi,Kordofanian,Phonology
juh,Ju|'hoan,2,Ejectives only,-19,21,Ju-Kung,Kxa,Phonology
kek,K'ekchí,5,Ejectives and implosives,16,-89.83333333,Mayan,Mayan,Phonology
kab,Kabardian,2,Ejectives only,43.5,43.5,Northwest Caucasian,Northwest Caucasian,Phonology
kad,Kadugli,3,Implosives only,11,29.66666667,Kadugli,Kadu,Phonology
kng,Kaingang,1,No glottalized consonants,-26,-52,Ge-Kaingang,Macro-Ge,Phonology
kly,Kala Lagaw Ya,1,No glottalized consonants,-10.11666667,142.1166667,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kal,Kalami,1,No glottalized consonants,35.5,72.5,Indic,Indo-European,Phonology
kgu,Kalkatungu,1,No glottalized consonants,-21,139.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
knk,Kanakuru,3,Implosives only,10,12,West Chadic,Afro-Asiatic,Phonology
knd,Kannada,1,No glottalized consonants,14,76,Southern Dravidian,Dravidian,Phonology
knr,Kanuri,1,No glottalized consonants,12,13,Western Saharan,Saharan,Phonology
ksg,Karen (Sgaw),3,Implosives only,18,97,Karen,Sino-Tibetan,Phonology
krk,Karok,1,No glottalized consonants,41.66666667,-123,Karok,Karok,Phonology
kas,Kashmiri,1,No glottalized consonants,34,76,Indic,Indo-European,Phonology
kws,Kawaiisu,1,No glottalized consonants,36,-117.5,Numic,Uto-Aztecan,Phonology
kyl,Kayah Li (Eastern),1,No glottalized consonants,19,97.5,Karen,Sino-Tibetan,Phonology
kay,Kayardild,1,No glottalized consonants,-17.05,139.5,Tangkic,Tangkic,Phonology
ked,Kedang,1,No glottalized consonants,-8.25,123.75,Central Malayo-Polynesian,Austronesian,Phonology
kef,Kefa,2,Ejectives only,7.25,36.25,South Omotic,Afro-Asiatic,Phonology
ker,Kera,3,Implosives only,9.833333333,15.08333333,East Chadic,Afro-Asiatic,Phonology
ket,Ket,1,No glottalized consonants,64,87,Yeniseian,Yeniseian,Phonology
kew,Kewa,1,No glottalized consonants,-6.5,143.8333333,Engan,Trans-New Guinea,Phonology
kha,Khalkha,1,No glottalized consonants,47,105,Mongolic,Altaic,Phonology
kty,Khanty,1,No glottalized consonants,65,65,Ugric,Uralic,Phonology
khr,Kharia,1,No glottalized consonants,22.5,84.33333333,Munda,Austro-Asiatic,Phonology
khs,Khasi,1,No glottalized consonants,25.5,92,Khasian,Austro-Asiatic,Phonology
khm,Khmer,3,Implosives only,12.5,105,Khmer,Austro-Asiatic,Phonology
kmu,Khmu',7,Implosives and glottalized resonants,21,102,Khmuic,Austro-Asiatic,Phonology
klv,Kilivila,1,No glottalized consonants,-8.5,151.0833333,Oceanic,Austronesian,Phonology
kio,Kiowa,2,Ejectives only,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Phonology
kgz,Kirghiz,1,No glottalized consonants,42,75,Turkic,Altaic,Phonology
krb,Kiribati,1,No glottalized consonants,1.333333333,173,Oceanic,Austronesian,Phonology
kss,Kisi (Southern),3,Implosives only,8.5,-10.25,Mel,Niger-Congo,Phonology
klm,Klamath,6,Ejectives and glottalized resonants,42.5,-121.5,Klamath-Modoc,Penutian,Phonology
kla,Klao,1,No glottalized consonants,4.75,-8.75,Kru,Niger-Congo,Phonology
koa,Koasati,1,No glottalized consonants,34.83333333,-85.16666667,Muskogean,Muskogean,Phonology
kob,Kobon,1,No glottalized consonants,-5.166666667,144.3333333,Madang,Trans-New Guinea,Phonology
koh,Kohumono,3,Implosives only,6,8.116666667,Cross River,Niger-Congo,Phonology
koi,Koiari,1,No glottalized consonants,-9.5,147.3333333,Koiarian,Trans-New Guinea,Phonology
kzy,Komi-Zyrian,1,No glottalized consonants,65,55,Permic,Uralic,Phonology
kom,Komo,5,Ejectives and implosives,8.75,33.75,Koman,Koman,Phonology
kkn,Konkani,1,No glottalized consonants,15.25,74,Indic,Indo-European,Phonology
kgi,Konyagi,3,Implosives only,12.5,-13.25,Tenda,Niger-Congo,Phonology
kor,Korean,2,Ejectives only,37.5,128,Korean,Korean,Phonology
kfe,Koromfe,1,No glottalized consonants,14.25,-0.916666667,Northern-Central Gur,Niger-Congo,Phonology
kry,Koryak,1,No glottalized consonants,61,167,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
kot,Kota,1,No glottalized consonants,11.5,77.16666667,Southern Dravidian,Dravidian,Phonology
ktk,Kotoko,5,Ejectives and implosives,11.33333333,15.33333333,Biu-Mandara,Afro-Asiatic,Phonology
koy,Koya,1,No glottalized consonants,17.5,81.33333333,South-Central Dravidian,Dravidian,Phonology
kch,Koyra Chiini,1,No glottalized consonants,17,-3,Songhay,Songhay,Phonology
kse,Koyraboro Senni,1,No glottalized consonants,16,0,Songhay,Songhay,Phonology
kpa,Kpan,1,No glottalized consonants,7.583333333,10.16666667,Platoid,Niger-Congo,Phonology
kpe,Kpelle,3,Implosives only,7,-10,Western Mande,Mande,Phonology
kro,Krongo,3,Implosives only,10.5,30,Kadugli,Kadu,Phonology
kya,Kuku-Yalanji,1,No glottalized consonants,-16,145,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kul,Kullo,5,Ejectives and implosives,6.75,37.08333333,North Omotic,Afro-Asiatic,Phonology
kun,Kuna,1,No glottalized consonants,8,-77.33333333,Kuna,Chibchan,Phonology
knm,Kunama,1,No glottalized consonants,14.5,37,Kunama,Kunama,Phonology
kmp,Kunimaipa,1,No glottalized consonants,-8,146.8333333,Goilalan,Trans-New Guinea,Phonology
krd,Kurdish (Central),1,No glottalized consonants,36,44,Iranian,Indo-European,Phonology
kur,Kurukh,1,No glottalized consonants,22.83333333,85.5,Northern Dravidian,Dravidian,Phonology
kut,Kutenai,6,Ejectives and glottalized resonants,49.5,-116,Kutenai,Kutenai,Phonology
kwa,Kwaio,1,No glottalized consonants,-8.95,161,Oceanic,Austronesian,Phonology
kwk,Kwakw'ala,6,Ejectives and glottalized resonants,51,-127,Northern Wakashan,Wakashan,Phonology
kwo,Kwoma,1,No glottalized consonants,-4.166666667,142.75,Nukuma,Sepik,Phonology
lad,Ladakhi,1,No glottalized consonants,34,78,Bodic,Sino-Tibetan,Phonology
lah,Lahu,1,No glottalized consonants,20,98.16666667,Burmese-Lolo,Sino-Tibetan,Phonology
lak,Lak,2,Ejectives only,42.16666667,47.16666667,Lak-Dargwa,Nakh-Daghestanian,Phonology
lkt,Lakhota,2,Ejectives only,43.83333333,-101.8333333,Core Siouan,Siouan,Phonology
lkk,Lakkia,3,Implosives only,24.08333333,110.1666667,Kadai,Tai-Kadai,Phonology
