ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Subfamily,Genus,ISO_codes,Samples_100,Samples_200
mru,Maru,,23.5,98.5,maru1249,mhx,Sino-Tibetan,Tibeto-Burman,Burmese-Lolo,mhx,FALSE,FALSE
mrw,Muruwari,,-28.75,147,muru1266,zmu,Pama-Nyungan,,Southeastern Pama-Nyungan,zmu,FALSE,FALSE
msc,Muisca,,5,-74,chib1270,chb,Chibchan,,Chibcha-Duit,chb,FALSE,FALSE
mse,Munsee,,41.5,-74.66666667,muns1251,umu,Algic,,Algonquian,umu,FALSE,FALSE
msg,Mising,,28.5,94.83333333,misi1242,mrg,Sino-Tibetan,Tibeto-Burman,Tani,mrg,FALSE,FALSE
msh,Marshallese,,7.116666667,171.05,mars1254,mah,Austronesian,Eastern Malayo-Polynesian,Oceanic,mah,FALSE,FALSE
msk,Masakin,,10.66666667,30,ngil1242,jle,Kordofanian,,Talodi,jle,FALSE,FALSE
msl,Masalit,,13.33333333,22,nucl1440,mls,Maban,,Maban,mls,FALSE,FALSE
msm,Musom,,-6.583333333,147,muso1238,msu,Austronesian,Eastern Malayo-Polynesian,Oceanic,msu,FALSE,FALSE
msn,Maisin,,-9.5,149.1666667,mais1250,mbq,Austronesian,Eastern Malayo-Polynesian,Oceanic,mbq,FALSE,FALSE
msq,Musqueam,,49.16666667,-123,halk1245,hur,Salishan,,Central Salish,hur,FALSE,FALSE
mss,Miwok (Southern Sierra),,37.5,-120,sout2985,skd,Penutian,Utian,Miwok,skd,FALSE,TRUE
msy,Magar (Syangja),,28.08333333,83.83333333,west2418,mrd,Sino-Tibetan,Tibeto-Burman,Mahakiranti,mrd,FALSE,FALSE
mta,Mentuh Tapuh,,1.25,111,buka1257,sdo,Austronesian,,Land Dayak,sdo,FALSE,FALSE
mtb,Matuumbi,,-8.5,39,matu1259,mgw,Niger-Congo,Benue-Congo,Bantoid,mgw,FALSE,FALSE
mtg,Montagnais,,52,-65,mont1268,moe,Algic,,Algonquian,moe,FALSE,FALSE
mth,Mixe (Tlahuitoltepec),,17.08333333,-96.16666667,tlah1239,mxp,Mixe-Zoque,,Mixe-Zoque,mxp,FALSE,FALSE
mti,Barí,,9,-73,bari1297,mot,Chibchan,,Motilon,mot,FALSE,FALSE
mtk,Matukar,,-4.916666667,145.75,matu1261,mjk,Austronesian,Eastern Malayo-Polynesian,Oceanic,mjk,FALSE,FALSE
mtl,Mattole,,40.16666667,-124.1666667,matt1238,mvb,Na-Dene,,Athapaskan,mvb,FALSE,FALSE
mto,Malto,,25,87.33333333,kuma1274,kmj,Dravidian,,Northern Dravidian,kmj,FALSE,FALSE
mtp,Mixe (Totontepec),,17.25,-96,toto1305,mto,Mixe-Zoque,,Mixe-Zoque,mto,FALSE,FALSE
mts,Matis,,-4.416666667,-70.25,mati1255,mpq,Panoan,,Panoan,mpq,FALSE,FALSE
mtt,Massachusett,,42.5,-71,wamp1249,wam,Algic,,Algonquian,wam,FALSE,FALSE
mtu,Motu,,-9.333333333,147,motu1246,meu,Austronesian,Eastern Malayo-Polynesian,Oceanic,meu,FALSE,FALSE
mua,Makua,,-15,38.66666667,makh1264,,Niger-Congo,Benue-Congo,Bantoid,mgh xsq,FALSE,FALSE
